Day,football: (Worldwide),rugby: (Worldwide),tennis: (Worldwide)
17/09/2023,98,32,5
18/09/2023,31,11,4
19/09/2023,28,7,4
20/09/2023,24,11,4
21/09/2023,27,19,4
22/09/2023,32,18,4
23/09/2023,100,35,4
24/09/2023,73,27,4
25/09/2023,30,10,4
26/09/2023,24,7,4
27/09/2023,22,9,4
28/09/2023,23,12,4
29/09/2023,29,15,4
30/09/2023,94,24,5
01/10/2023,62,22,5
02/10/2023,28,9,5
03/10/2023,24,6,5
04/10/2023,21,6,5
05/10/2023,24,10,4
06/10/2023,28,22,4
07/10/2023,87,37,5
08/10/2023,64,26,5
09/10/2023,26,10,4
10/10/2023,21,6,4
11/10/2023,19,6,4
12/10/2023,25,7,4
13/10/2023,33,11,4
14/10/2023,87,43,4
15/10/2023,54,59,4
16/10/2023,25,15,4
17/10/2023,25,6,4
18/10/2023,21,5,4
19/10/2023,21,6,4
20/10/2023,26,20,4
21/10/2023,81,39,4
22/10/2023,61,14,4
23/10/2023,25,6,4
24/10/2023,23,5,4
25/10/2023,20,5,4
26/10/2023,22,5,4
27/10/2023,27,14,4
28/10/2023,80,47,5
29/10/2023,56,14,5
30/10/2023,23,5,4
31/10/2023,21,3,5
01/11/2023,21,3,5
02/11/2023,20,3,5
03/11/2023,25,3,6
04/11/2023,85,5,6
05/11/2023,60,4,5
06/11/2023,26,2,4
07/11/2023,22,2,4
08/11/2023,21,2,4
09/11/2023,21,2,3
10/11/2023,25,2,3
11/11/2023,86,3,4
12/11/2023,66,3,6
13/11/2023,23,2,5
14/11/2023,21,2,6
15/11/2023,19,2,6
16/11/2023,26,2,6
17/11/2023,30,2,5
18/11/2023,83,3,9
19/11/2023,60,3,8
20/11/2023,27,2,4
21/11/2023,30,2,3
22/11/2023,22,2,3
23/11/2023,27,2,4
24/11/2023,37,2,4
25/11/2023,86,3,6
26/11/2023,63,2,7
27/11/2023,24,2,3
28/11/2023,23,1,3
29/11/2023,20,1,3
30/11/2023,19,2,3
01/12/2023,23,2,3
02/12/2023,68,3,3
03/12/2023,80,3,3
04/12/2023,27,2,3
05/12/2023,23,1,3
06/12/2023,20,1,3
07/12/2023,18,1,3
08/12/2023,21,2,3
09/12/2023,34,4,3
10/12/2023,29,3,3
11/12/2023,20,2,3
12/12/2023,20,1,3
13/12/2023,17,1,3
